,Name,Season,OBPM,DBPM,BPM
5088,David Nyarsuk,2013,-1.6,5.4,3.8
5089,David Onuorah,2014,-2.8,0.5,-2.3
5090,David Onuorah,2015,-5.6,6.7,1.1
5091,David Onuorah,2016,-5.8,2.7,-3.1
5092,David Pekarek,2016,-4.5,-1.0,-5.4
5093,David Pellom,2011,0.0,2.8,2.8
5094,David Pellom,2012,3.8,0.7,4.6
5095,David Pellom,2014,2.6,1.8,4.4
5096,David Perez,2011,-2.4,-2.6,-5.0
5097,David Perez,2012,-1.5,-2.9,-4.3
5098,David Rivers,2013,-1.0,1.3,0.4
5099,David Rivers,2014,0.1,5.6,5.6
5100,David Rivers,2015,-0.6,2.7,2.2
5101,David Robertson,2014,-0.5,-4.1,-4.6
5102,David Robertson,2015,-0.2,-3.5,-3.7
5103,David Robertson,2017,3.2,-2.6,0.6
5104,David Robinson,2011,-3.7,-5.7,-9.4
5105,David Robinson,2012,0.3,-7.6,-7.3
5106,David Robinson,2013,-1.5,-5.2,-6.8
5107,David Rufful,2011,-2.2,-1.0,-3.2
5108,David Rufful,2012,-3.3,-0.5,-3.8
5109,David Safstrom,2011,-4.8,2.3,-2.5
5110,David Samuels,2014,-2.8,0.7,-2.1
5111,David Samuels,2015,0.5,2.0,2.4
5112,David Santiago,2012,-6.4,-3.4,-9.8
5113,David Simmons,2012,-1.2,1.1,-0.1
5114,David Skara,2015,0.2,2.4,2.6
5115,David Skara,2016,0.2,2.2,2.4
5116,David Smith,2011,-5.3,-0.7,-6.0
5117,David Smith,2012,-5.0,1.7,-3.3
5118,David Stockton,2011,2.7,2.0,4.7
5119,David Stockton,2012,0.1,1.0,1.1
5120,David Stockton,2013,2.2,4.1,6.3
5121,David Stockton,2014,1.0,3.2,4.3
5122,David Syfax,2017,-5.1,0.8,-4.3
5123,David Tairu,2011,3.2,-1.2,2.0
5124,David Taylor,2014,-0.2,-1.7,-1.9
5125,David Taylor,2015,0.5,-3.1,-2.6
5126,David Taylor,2016,-3.3,-2.2,-5.5
5127,David Travers,2013,-2.6,-5.0,-7.5
5128,David Wacker,2015,-3.5,0.8,-2.7
5129,David Wacker,2017,0.8,2.1,2.9
5130,David Walker,2013,1.4,-0.6,0.8
5131,David Walker,2014,0.9,0.5,1.4
5132,David Walker,2015,3.6,-0.6,3.0
5133,David Walker,2016,6.8,-0.3,6.5
5134,David Watkins,2017,-3.0,-1.2,-4.1
5135,David Wear,2012,2.0,0.2,2.2
5136,David Wear,2013,1.5,1.5,3.0
5137,David Wear,2014,2.5,1.5,4.0
5138,David Williams,2011,-2.3,2.0,-0.3
5139,David Williams,2012,-2.3,2.6,0.4
5140,David Williams,2013,-2.9,2.3,-0.6
5141,David Wishon,2014,-7.4,2.5,-5.0
5142,David Wishon,2016,-9.7,-2.9,-12.6
5143,Davide Curletti,2011,1.3,0.7,2.0
5144,Davide Curletti,2012,-0.2,1.5,1.2
5145,Davin Guinn,2017,-0.1,2.2,2.0
5146,Davion Berry,2013,4.5,0.9,5.4
5147,Davion Berry,2014,6.2,-1.2,5.0
5148,Davion Mintz,2017,-1.3,2.8,1.5
5149,Davis Martens,2011,-6.7,0.5,-6.2
5150,Davis Martens,2013,-4.4,-1.9,-6.2
5151,Davis Rozitis,2012,-1.1,-0.3,-1.3
5152,Davis Rozitis,2013,-1.9,5.1,3.2
5153,Davis Rozitis,2014,-0.1,3.5,3.4
5154,Daviyon Draper,2015,-3.1,1.9,-1.1
5155,Daviyon Draper,2016,-1.1,-0.5,-1.6
5156,Davon Bell,2015,-5.9,-2.9,-8.8
5157,Davon Bell,2016,-6.2,-0.4,-6.5
5158,Davon Clare,2017,-5.5,3.0,-2.6
5159,Davon Dillard,2017,3.8,1.3,5.1
5160,Davon Hayes,2015,-4.5,-3.5,-8.0
5161,Davon Hayes,2017,-1.8,-1.1,-2.9
5162,Davon Jones,2012,-8.0,-1.0,-9.0
5163,Davon Marshall,2013,4.4,-4.3,0.2
5164,Davon Marshall,2014,-0.9,-3.8,-4.7
5165,Davon Potts,2012,-2.9,-4.7,-7.6
5166,Davon Reed,2014,-0.4,-0.7,-1.1
5167,Davon Reed,2015,4.6,3.5,8.1
5168,Davon Reed,2016,4.4,2.5,6.9
5169,Davon Reed,2017,5.3,3.3,8.5
5170,Davon Usher,2013,4.4,-2.4,2.0
5171,Davon Usher,2014,4.9,-0.4,4.5
5172,Davonta Jordan,2017,-5.3,1.3,-4.0
5173,Davonte Fitzgerald,2015,-2.1,-0.8,-2.9
5174,Dawon Cummings,2013,0.4,2.0,2.4
5175,Dawon Cummings,2014,3.1,2.1,5.2
5176,Dawson Verhines,2014,-1.7,-0.7,-2.4
5177,Dawson Verhines,2015,-4.0,0.7,-3.3
5178,Daxter Miles,2015,4.0,1.6,5.6
5179,Daxter Miles,2016,3.6,3.1,6.7
5180,Daxter Miles,2017,6.0,3.2,9.3
5181,Daylen Harrison,2011,-1.0,0.0,-1.0
5182,Daylen Harrison,2013,-1.9,0.9,-1.0
5183,Daylen Harrison,2014,-1.6,4.5,3.0
5184,Daylen Robinson,2013,-4.7,-1.2,-5.9
5185,Daylon Guy,2011,0.6,-0.7,-0.2
5186,Daylon Guy,2012,1.5,0.4,1.9
5187,Daymon Warren,2011,-6.9,2.9,-4.0
5188,Daymond Cowlah,2011,-1.0,-1.0,-2.1
5189,Daymond Cowlah,2012,-3.8,-1.0,-4.8
5190,Dayon Goodman,2016,-1.2,-0.6,-1.8
5191,Dayon Griffin,2015,-3.9,3.7,-0.1
5192,Dayon Griffin,2016,1.4,0.4,1.8
5193,Dazon Ingram,2017,3.3,3.8,7.1
5194,De'Aaron Fox,2017,5.1,3.7,8.7
5195,De'Aires Tate,2013,-4.5,0.2,-4.3
5196,De'Andre Davis,2015,0.7,-1.2,-0.5
5197,De'Andre Davis,2016,-0.7,1.1,0.4
5198,De'Angelo Bruster,2016,-4.3,-1.2,-5.5
5199,De'Angelo Bruster,2017,-2.2,-2.5,-4.7
5200,De'Angelo Speech,2011,-6.1,1.6,-4.6
5201,De'Angelo Speech,2014,-2.5,-1.3,-3.8
5202,De'Antae McMurray,2017,0.4,-1.7,-1.2
5203,De'Anthony Melton,2017,3.0,5.3,8.3
5204,De'Aundray Robinson,2011,-7.0,0.6,-6.4
5205,De'Edrick Petty,2017,-0.4,-7.0,-7.3
5206,De'End Parker,2013,1.1,-1.3,-0.2
5207,De'Mon Brooks,2011,0.6,0.5,1.1
5208,De'Mon Brooks,2012,4.4,-0.1,4.3
5209,De'Mon Brooks,2013,0.6,0.5,1.0
5210,De'Mon Brooks,2014,5.3,-0.4,4.8
5211,De'Monte Buckingham,2017,1.8,3.2,5.0
5212,De'Ron Davis,2017,2.0,3.2,5.2
5213,De'Sean Parsons,2016,-1.5,-1.6,-3.2
5214,De'Sean Parsons,2017,-2.9,-0.2,-3.1
5215,De'Suan Dixon,2011,-2.3,1.1,-1.2
5216,DeAndray Buckley,2011,-4.7,2.1,-2.6
5217,DeAndre Abram,2016,-1.8,-1.5,-3.3
5218,DeAndre Bembry,2014,1.0,1.4,2.4
5219,DeAndre Bembry,2015,3.8,3.1,6.9
5220,DeAndre Bembry,2016,4.6,4.5,9.1
5221,DeAndre Brown,2011,-0.8,-1.4,-2.2
5222,DeAndre Daniels,2012,-0.1,2.8,2.7
5223,DeAndre Daniels,2013,0.3,2.7,2.9
5224,DeAndre Daniels,2014,1.2,2.9,4.1
5225,DeAndre Dishman,2017,-2.2,1.0,-1.3
5226,DeAndre Harris,2015,-4.5,-1.4,-5.9
5227,DeAndre Haywood,2014,-2.1,-4.2,-6.4
5228,DeAndre Haywood,2015,-3.7,-2.1,-5.8
5229,DeAndre Haywood,2016,-1.0,-2.0,-3.0
5230,DeAndre Haywood,2017,-2.6,-2.5,-5.1
5231,DeAndre Hersey,2011,-2.4,1.7,-0.7
5232,DeAndre Kane,2011,2.3,0.9,3.3
5233,DeAndre Kane,2012,3.0,1.0,4.0
5234,DeAndre Kane,2013,1.8,-1.4,0.4
5235,DeAndre Kane,2014,5.4,3.5,8.9
5236,DeAndre Liggins,2011,2.9,4.3,7.2
5237,DeAndre McIntyre,2015,-6.7,-0.9,-7.5
5238,DeAngelo Casto,2011,0.9,6.1,7.0
5239,DeAngelo Jones,2011,-3.7,1.0,-2.7
5240,DeAngelo Priar,2014,-1.6,-3.1,-4.7
5241,DeAngelo Priar,2015,-2.8,-3.1,-5.9
5242,DeAngelo Stewart,2016,1.2,-1.8,-0.6
5243,DeAngelo Stewart,2017,-0.3,-1.7,-2.1
5244,DeAntre Jefferson,2011,-1.6,-0.1,-1.7
5245,DeJuan Marrero,2014,-2.6,1.1,-1.5
5246,DeJuan Marrero,2016,-2.6,3.6,1.0
5247,DeJuan Marrero,2017,-4.8,-0.3,-5.1
5248,DeJuan Wright,2011,2.6,-0.6,2.0
5249,DeJuan Wright,2012,3.3,-0.5,2.8
5250,DeLovell Earls,2013,-1.3,0.1,-1.2
5251,DeMarc Richardson,2013,-6.4,-3.1,-9.5
5252,DeMarc Richardson,2014,-6.6,-5.0,-11.6
5253,DeMarcus Gatlin,2012,-2.0,0.6,-1.4
5254,DeMarcus Gatlin,2015,2.1,3.3,5.4
5255,DeMarcus Robinson,2014,-1.6,-4.3,-5.8
5256,DeMarcus Robinson,2015,1.0,-2.0,-0.9
5257,DeMario Mayfield,2012,0.6,1.2,1.8
5258,DeMondre Harvey,2014,-2.5,2.8,0.3
5259,DeMondre Harvey,2015,-1.5,1.1,-0.4
5260,DeMondre Harvey,2016,0.5,1.7,2.2
5261,DeOndre Haynes,2015,-6.1,-2.0,-8.1
5262,DeQuan Hicks,2013,5.0,2.2,7.2
5263,DeQuan Hicks,2014,-0.3,0.0,-0.3
5264,DeQuan Jones,2011,-2.6,2.0,-0.6
5265,DeSean Murray,2016,3.5,1.7,5.2
5266,DeShawn Dockery,2011,-6.8,-2.0,-8.8
